latitude,longitude,floorSize,price,url
39.051926,-94.590385,1545,435000,https://www.zillow.com/homedetails/4141-Pennsylvania-Ave-APT-205-Kansas-City-MO-64111/109851498_zpid/
39.084557,-94.52684,3072,140000,https://www.zillow.com/homedetails/2220-Chelsea-Ave-Kansas-City-MO-64127/61634335_zpid/
39.051937,-94.59031,2858,799000,https://www.zillow.com/homedetails/4141-Pennsylvania-Ave-307-308-Kansas-City-MO-64111/2077080123_zpid/
39.061947,-94.567986,3870,420000,https://www.zillow.com/homedetails/3533-Virginia-Ave-Kansas-City-MO-64109/2339736_zpid/
39.115063,-94.52171,1360,168000,https://www.zillow.com/homedetails/319-N-Quincy-Ave-Kansas-City-MO-64123/2283622_zpid/
39.045174,-94.53366,1104,104999,https://www.zillow.com/homedetails/4412-Kensington-Ave-Kansas-City-MO-64130/2359150_zpid/
39.280342,-94.55173,4802,825000,https://www.zillow.com/homedetails/10213-N-Brooklyn-Ave-Kansas-City-MO-64155/66457302_zpid/
39.282146,-94.64896,2789,649900,https://www.zillow.com/homedetails/5908-NW-104th-St-Kansas-City-MO-64154/295526425_zpid/
39.036205,-94.59077,4694,1750000,https://www.zillow.com/homedetails/5049-Wornall-Rd-APT-7AB-Kansas-City-MO-64112/2346712_zpid/
39.07469,-94.516106,880,114499,https://www.zillow.com/homedetails/5638-E-28th-St-Kansas-City-MO-64128/2330966_zpid/
39.28693,-94.595634,2538,439100,https://www.zillow.com/community/holly-farms/341193968_zpid/
39.20471,-94.65382,2938,915000,https://www.zillow.com/homedetails/6216-NW-59th-Ter-Kansas-City-MO-64151/2055705283_zpid/
39.058422,-94.580956,3464,725000,https://www.zillow.com/homedetails/3747-Gillham-Rd-Kansas-City-MO-64109/2341568_zpid/
39.105457,-94.54542,4239,420000,https://www.zillow.com/homedetails/3010-E-6th-St-Kansas-City-MO-64124/2325315_zpid/
39.10487,-94.53173,1200,99900,https://www.zillow.com/homedetails/614-Spruce-Ave-Kansas-City-MO-64124/2323420_zpid/
39.286243,-94.48652,2583,469900,https://www.zillow.com/homedetails/7818-NE-106th-Ter-Kansas-City-MO-64157/346210219_zpid/
39.044437,-94.59168,683,179900,https://www.zillow.com/homedetails/4540-Broadway-APT-3N-Kansas-City-MO-64111/83921985_zpid/
39.111015,-94.53857,1638,85000,https://www.zillow.com/homedetails/307-Askew-Ave-Kansas-City-MO-64124/2286980_zpid/
39.280247,-94.49608,2426,516800,https://www.zillow.com/homedetails/10327-N-Winchester-Ave-Kansas-City-MO-64156/2052876510_zpid/
39.11604,-94.51367,834,79950,https://www.zillow.com/homedetails/401-N-Topping-Ave-Kansas-City-MO-64123/2282356_zpid/
39.104553,-94.57557,950,209900,https://www.zillow.com/homedetails/600-E-8th-St-APT-12B-Kansas-City-MO-64106/2056836652_zpid/
38.99745,-94.5688,728,126000,https://www.zillow.com/homedetails/7124-Wayne-Ave-Kansas-City-MO-64131/2421057_zpid/
38.96559,-94.49506,928,139963,https://www.zillow.com/homedetails/8011-E-88th-St-Kansas-City-MO-64138/2439359_zpid/
39.28019,-94.49099,2650,585000,https://www.zillow.com/homedetails/10308-N-Oakland-Ave-Kansas-City-MO-64157/2058840585_zpid/
39.067085,-94.558426,3404,279000,https://www.zillow.com/homedetails/3233-Garfield-Ave-Kansas-City-MO-64109/2337392_zpid/
39.04167,-94.58274,650,175000,https://www.zillow.com/homedetails/323-Emanuel-Cleaver-Blvd-3D-Kansas-City-MO-64112/2075801774_zpid/
39.27895,-94.54341,4270,1282900,https://www.zillow.com/homedetails/2908-NE-102nd-St-Kansas-City-MO-64155/337750990_zpid/
39.30814,-94.51035,2250,429900,https://www.zillow.com/homedetails/11818-N-Bellaire-Ave-Kansas-City-MO-64156/345104958_zpid/
39.275124,-94.55567,2740,689900,https://www.zillow.com/homedetails/1911-NE-100th-Ter-Kansas-City-MO-64155/81900268_zpid/
39.101845,-94.551544,2184,80000,https://www.zillow.com/homedetails/914-Prospect-Ave-Kansas-City-MO-64127/2334504_zpid/
39.105656,-94.57569,752,199000,https://www.zillow.com/homedetails/600-E-Admiral-Blvd-UNIT-1006-Kansas-City-MO-64106/70895229_zpid/
39.036205,-94.59077,2685,1000000,https://www.zillow.com/homedetails/5049-Wornall-Rd-APT-5CS-Kansas-City-MO-64112/2346736_zpid/
39.283455,-94.595,3200,659000,https://www.zillow.com/homedetails/10426-N-Mulberry-St-Kansas-City-MO-64155/2053832159_zpid/
39.279995,-94.496155,2636,548300,https://www.zillow.com/homedetails/10319-N-Winchester-Ave-Kansas-City-MO-64156/344041703_zpid/
39.03892,-94.58907,1169,475000,https://www.zillow.com/homedetails/121-W-48th-St-APT-303-Kansas-City-MO-64112/61634585_zpid/
39.10995,-94.540115,1284,150000,https://www.zillow.com/homedetails/327-Bales-Ave-Kansas-City-MO-64124/2287059_zpid/
38.960426,-94.49665,1400,173500,https://www.zillow.com/homedetails/9004-Manchester-Ave-Kansas-City-MO-64138/2439226_zpid/
39.284966,-94.487366,2000,478000,https://www.zillow.com/homedetails/7712-NE-106th-Pl-Kansas-City-MO-64157/2053964196_zpid/
39.257595,-94.672806,2741,590000,https://www.zillow.com/homedetails/8108-NW-89th-Ter-Kansas-City-MO-64153/241513418_zpid/
39.295815,-94.63992,2927,549900,https://www.zillow.com/homedetails/11119-N-Hull-Ave-Kansas-City-MO-64154/2056972640_zpid/
39.025776,-94.53834,840,90000,https://www.zillow.com/homedetails/4011-E-55th-St-Kansas-City-MO-64130/2361732_zpid/
39.037502,-94.59157,2019,799900,https://www.zillow.com/homedetails/4950-Central-St-APT-603-Kansas-City-MO-64112/70896106_zpid/
39.200623,-94.65024,3406,1044980,https://www.zillow.com/homedetails/6105-NW-58th-St-Kansas-City-MO-64151/2055496745_zpid/
39.233772,-94.479515,3128,740000,https://www.zillow.com/homedetails/7721-N-Donnelly-Ave-Kansas-City-MO-64158/326648232_zpid/
39.07578,-94.558014,2234,265000,https://www.zillow.com/homedetails/2739-Garfield-Ave-Kansas-City-MO-64109/2336445_zpid/
39.04364,-94.54978,876,55500,https://www.zillow.com/homedetails/4521-Agnes-Ave-Kansas-City-MO-64130/2358431_zpid/
39.27973,-94.49021,2498,554950,https://www.zillow.com/homedetails/10301-N-Oakland-Ave-Kansas-City-MO-64157/2055316302_zpid/
39.041958,-94.55079,726,95000,https://www.zillow.com/homedetails/4619-S-Benton-Ave-Kansas-City-MO-64130/2358634_zpid/
39.009747,-94.55304,1232,155000,https://www.zillow.com/homedetails/6420-S-Benton-Ave-Kansas-City-MO-64132/2408853_zpid/
38.957886,-94.48829,1300,195000,https://www.zillow.com/homedetails/8602-E-91st-Ter-Kansas-City-MO-64138/2439625_zpid/
